kernelversion,contributor,value,Percentage
Linux-2.6.39(2011-05-18),Siemens,6,0.06
Linux-2.6.39(2011-05-18),KEYMILE,6,0.06
Linux-2.6.39(2011-05-18),GNU,6,0.06
Linux-2.6.39(2011-05-18),ENAC,6,0.06
Linux-2.6.39(2011-05-18),Signal 11,6,0.06
Linux-2.6.39(2011-05-18),Corscience GmbH & Co.,6,0.06
Linux-2.6.39(2011-05-18),"Rowland Institute, Harvard",6,0.06
Linux-2.6.39(2011-05-18),Wacom,6,0.06
Linux-2.6.39(2011-05-18),Philosys Software,5,0.05
Linux-2.6.39(2011-05-18),Tk Open Systems,5,0.05
Linux-2.6.39(2011-05-18),PARROT S.A.,5,0.05
Linux-2.6.39(2011-05-18),SGI,5,0.05
Linux-2.6.39(2011-05-18),General Electric,5,0.05
Linux-2.6.39(2011-05-18),Lundinova AB,5,0.05
Linux-2.6.39(2011-05-18),Hansen Partnership,4,0.04
Linux-2.6.39(2011-05-18),EXAR,4,0.04
Linux-2.6.39(2011-05-18),Chelsio,4,0.04
Linux-2.6.39(2011-05-18),ACM,4,0.04
Linux-2.6.39(2011-05-18),Calxeda,4,0.04
Linux-2.6.39(2011-05-18),Bluewater Systems,4,0.04
Linux-2.6.39(2011-05-18),EXOSEC,4,0.04
Linux-2.6.39(2011-05-18),CERN,4,0.04
Linux-2.6.39(2011-05-18),SIMTEC,4,0.04
Linux-2.6.39(2011-05-18),KARO,4,0.04
Linux-2.6.39(2011-05-18),"Vista-Silicon, S.L.",4,0.04
Linux-2.6.39(2011-05-18),DELL,4,0.04
Linux-2.6.39(2011-05-18),Amarula Solutions,4,0.04
Linux-2.6.39(2011-05-18),DreamHost,4,0.04
Linux-2.6.39(2011-05-18),NEC,4,0.04
Linux-2.6.39(2011-05-18),Nanometrics,4,0.04
Linux-2.6.39(2011-05-18),NIIF Institute,3,0.03
Linux-2.6.39(2011-05-18),Wytron Technology,3,0.03
Linux-2.6.39(2011-05-18),SYS TEC electronic GmbH,3,0.03
Linux-2.6.39(2011-05-18),caiaq,3,0.03
Linux-2.6.39(2011-05-18),Guntermann & Drunck GmbH,3,0.03
Linux-2.6.39(2011-05-18),Imagination Technologies,3,0.03
Linux-2.6.39(2011-05-18),Extreme Engineering Solutions,3,0.03
Linux-2.6.39(2011-05-18),Mentor Graphics,3,0.03
Linux-2.6.39(2011-05-18),AXIS,3,0.03
Linux-2.6.39(2011-05-18),ARISTA,3,0.03
Linux-2.6.39(2011-05-18),PHYTEC,3,0.03
Linux-2.6.39(2011-05-18),XMission,3,0.03
Linux-2.6.39(2011-05-18),Miracle Linux,3,0.03
Linux-2.6.39(2011-05-18),Volkswagen,3,0.03
Linux-2.6.39(2011-05-18),Brocade,3,0.03
Linux-2.6.39(2011-05-18),Neratec Solutions AG,2,0.02
Linux-2.6.39(2011-05-18),emlix Gmbh,2,0.02
Linux-2.6.39(2011-05-18),Cypress Semiconductor,2,0.02
Linux-2.6.39(2011-05-18),Applied Micro,2,0.02
Linux-2.6.39(2011-05-18),Akamai,2,0.02
Linux-2.6.39(2011-05-18),Synopsys,2,0.02
Linux-2.6.39(2011-05-18),Alcatel-Lucent,2,0.02
Linux-2.6.39(2011-05-18),RuggedCom,2,0.02
Linux-2.6.39(2011-05-18),Software Systems,2,0.02
Linux-2.6.39(2011-05-18),LWN,2,0.02
Linux-2.6.39(2011-05-18),MCST,2,0.02
Linux-2.6.39(2011-05-18),ISEE,2,0.02
Linux-2.6.39(2011-05-18),O.S. Systems Software Ltda.,2,0.02
Linux-2.6.39(2011-05-18),BalaBit,1,0.01
Linux-2.6.39(2011-05-18),MEV Limited,1,0.01
Linux-2.6.39(2011-05-18),Promise Technology,1,0.01
Linux-2.6.39(2011-05-18),Zoho,1,0.01
Linux-2.6.39(2011-05-18),Elliptic Technologies,1,0.01
Linux-2.6.39(2011-05-18),Raumfeld GmbH,1,0.01
Linux-2.6.39(2011-05-18),Nixu Oy,1,0.01
Linux-2.6.39(2011-05-18),Mindbit,1,0.01
Linux-2.6.39(2011-05-18),6WIND,1,0.01
Linux-2.6.39(2011-05-18),InfoObjects,1,0.01
Linux-2.6.39(2011-05-18),protonic holland,1,0.01
Linux-2.6.39(2011-05-18),Motorola,1,0.01
Linux-2.6.39(2011-05-18),Promwad Innovation,1,0.01
Linux-2.6.39(2011-05-18),Bosch,1,0.01
Linux-2.6.39(2011-05-18),USI,1,0.01
Linux-2.6.39(2011-05-18),Digital Design,1,0.01
Linux-2.6.39(2011-05-18),UNICUS,1,0.01
Linux-2.6.39(2011-05-18),Voltaire,1,0.01
Linux-2.6.39(2011-05-18),taskit,1,0.01
Linux-2.6.39(2011-05-18),Mistral,1,0.01
Linux-2.6.39(2011-05-18),Crash Barrier,1,0.01
Linux-2.6.39(2011-05-18),EfficiOS Inc.,1,0.01
Linux-2.6.39(2011-05-18),Toshiba,1,0.01
Linux-2.6.39(2011-05-18),Telemotive AG,1,0.01
Linux-2.6.39(2011-05-18),Savoir-faire Linux,1,0.01
Linux-2.6.39(2011-05-18),Katalix Systems,1,0.01
Linux-2.6.39(2011-05-18),Nexenta,1,0.01
Linux-2.6.39(2011-05-18),SYSGO,1,0.01
Linux-2.6.39(2011-05-18),HighPoint Technologies,1,0.01
Linux-2.6.39(2011-05-18),PMC-Sierra,1,0.01
Linux-2.6.39(2011-05-18),It Technology,1,0.01
Linux-2.6.39(2011-05-18),TomTom,1,0.01
Linux-2.6.39(2011-05-18),Sunplus Core Tech.,1,0.01
Linux-2.6.39(2011-05-18),Solid Boot,1,0.01
Linux-2.6.39(2011-05-18),igalia,1,0.01
Linux-2.6.39(2011-05-18),Whamcloud Inc.,1,0.01
Linux-2.6.39(2011-05-18),Cozybit,1,0.01
Linux-2.6.39(2011-05-18),SMSC,1,0.01
Linux-2.6.39(2011-05-18),STRATO,1,0.01
Linux-2.6.39(2011-05-18),Transmode Systems,1,0.01
Linux-2.6.39(2011-05-18),Etersoft,1,0.01
Linux-2.6.39(2011-05-18),TriplePoint,1,0.01
Linux-2.6.39(2011-05-18),Freebox,1,0.01
Linux-2.6.39(2011-05-18),GRAMMER EiA ELECTRONICS,1,0.01
Linux-2.6.39(2011-05-18),Orcon Internet,1,0.01
Linux-2.6.39(2011-05-18),Intra2net AG,1,0.01
Linux-2.6.38(2011-03-14),Hobbyists,1567,16.37
Linux-2.6.38(2011-03-14),Red Hat,1104,11.53
Linux-2.6.38(2011-03-14),Intel,807,8.43
Linux-2.6.38(2011-03-14),Novell,466,4.87
Linux-2.6.38(2011-03-14),Unknown,428,4.47
Linux-2.6.38(2011-03-14),Consultants,335,3.5
Linux-2.6.38(2011-03-14),IBM,316,3.3
Linux-2.6.38(2011-03-14),Texas Instruments,313,3.27
Linux-2.6.38(2011-03-14),Broadcom,189,1.97
Linux-2.6.38(2011-03-14),Wolfson Microelectronics,187,1.95
Linux-2.6.38(2011-03-14),AMD,186,1.94
Linux-2.6.38(2011-03-14),Nokia,166,1.73
Linux-2.6.38(2011-03-14),Renesas Electronics,164,1.71
Linux-2.6.38(2011-03-14),Oracle,161,1.68
Linux-2.6.38(2011-03-14),QUALCOMM,138,1.44
Linux-2.6.38(2011-03-14),Samsung,137,1.43
Linux-2.6.38(2011-03-14),Analog Devices,133,1.39
Linux-2.6.38(2011-03-14),Google,133,1.39
Linux-2.6.38(2011-03-14),Linutronix,116,1.21
Linux-2.6.38(2011-03-14),Fujitsu,113,1.18
Linux-2.6.38(2011-03-14),Pengutronix,111,1.16
Linux-2.6.38(2011-03-14),Canonical,101,1.05
Linux-2.6.38(2011-03-14),Marvell,93,0.97
Linux-2.6.38(2011-03-14),ST-Ericsson,92,0.96
Linux-2.6.38(2011-03-14),OpenWrt,88,0.92
Linux-2.6.38(2011-03-14),QLogic,74,0.77
Linux-2.6.38(2011-03-14),Vyatta,71,0.74
Linux-2.6.38(2011-03-14),Freescale,68,0.71
Linux-2.6.38(2011-03-14),Code Aurora Forum,66,0.69
Linux-2.6.38(2011-03-14),Academics,64,0.67
Linux-2.6.38(2011-03-14),NetApp,48,0.5
Linux-2.6.38(2011-03-14),Open Nandra,46,0.48
Linux-2.6.38(2011-03-14),OKI SEMICONDUCTOR,44,0.46
Linux-2.6.38(2011-03-14),EFJohnson Technologies,42,0.44
Linux-2.6.38(2011-03-14),Linaro,37,0.39
Linux-2.6.38(2011-03-14),Solarflare Communications,36,0.38
Linux-2.6.38(2011-03-14),Citrix,35,0.37
Linux-2.6.38(2011-03-14),Bitmer,34,0.36
Linux-2.6.38(2011-03-14),ARM,33,0.34
Linux-2.6.38(2011-03-14),NTT,33,0.34
Linux-2.6.38(2011-03-14),Openwall,31,0.32
Linux-2.6.38(2011-03-14),NXP,30,0.31
Linux-2.6.38(2011-03-14),Linux Foundation,30,0.31
Linux-2.6.38(2011-03-14),EXAR,29,0.3
Linux-2.6.38(2011-03-14),Microsoft,28,0.29
Linux-2.6.38(2011-03-14),Brocade,28,0.29
Linux-2.6.38(2011-03-14),Secret Lab,27,0.28
Linux-2.6.38(2011-03-14),VMWare,27,0.28
Linux-2.6.38(2011-03-14),Cisco,25,0.26
Linux-2.6.38(2011-03-14),New Dream Network,25,0.26
Linux-2.6.38(2011-03-14),MontaVista,24,0.25
Linux-2.6.38(2011-03-14),Atomide,23,0.24
Linux-2.6.38(2011-03-14),Chelsio,22,0.23
Linux-2.6.38(2011-03-14),LSI,22,0.23
Linux-2.6.38(2011-03-14),Tuxera,21,0.22
Linux-2.6.38(2011-03-14),PetaLogix,21,0.22
Linux-2.6.38(2011-03-14),Parallels,20,0.21
Linux-2.6.38(2011-03-14),STMicroelectronics,20,0.21
Linux-2.6.38(2011-03-14),Astaro,20,0.21
Linux-2.6.38(2011-03-14),CERN,20,0.21
Linux-2.6.38(2011-03-14),Debian,20,0.21
Linux-2.6.38(2011-03-14),"Rowland Institute, Harvard",19,0.2
Linux-2.6.38(2011-03-14),Emulex,19,0.2
Linux-2.6.38(2011-03-14),Cavium,17,0.18
Linux-2.6.38(2011-03-14),Gaisler Research,15,0.16
Linux-2.6.38(2011-03-14),Atmel,14,0.15
Linux-2.6.38(2011-03-14),RisingTide Systems,13,0.14
Linux-2.6.38(2011-03-14),DENX Software Engineering,12,0.13
Linux-2.6.38(2011-03-14),Cozybit,12,0.13
Linux-2.6.38(2011-03-14),Hitachi,12,0.13
Linux-2.6.38(2011-03-14),Etersoft,12,0.13
Linux-2.6.38(2011-03-14),VA LINUX,11,0.11
Linux-2.6.38(2011-03-14),Mandriva,11,0.11
Linux-2.6.38(2011-03-14),NVIDIA,11,0.11
Linux-2.6.38(2011-03-14),MathEmbedded Consulting,11,0.11
Linux-2.6.38(2011-03-14),Siemens,11,0.11
Linux-2.6.38(2011-03-14),Nicira Networks,10,0.1
Linux-2.6.38(2011-03-14),South Pole AB,10,0.1
Linux-2.6.38(2011-03-14),ENAC,10,0.1
Linux-2.6.38(2011-03-14),SGI,10,0.1
Linux-2.6.38(2011-03-14),IDT,10,0.1
Linux-2.6.38(2011-03-14),Macq Electronique,9,0.09
Linux-2.6.38(2011-03-14),HP,9,0.09
Linux-2.6.38(2011-03-14),Nanometrics,8,0.08
Linux-2.6.38(2011-03-14),ACM,8,0.08
Linux-2.6.38(2011-03-14),EmCraft Systems,8,0.08
Linux-2.6.38(2011-03-14),Fixstars Technologies,8,0.08
Linux-2.6.38(2011-03-14),Ericsson,8,0.08
Linux-2.6.38(2011-03-14),CompuLab,7,0.07
Linux-2.6.38(2011-03-14),Imagination Technologies,7,0.07
Linux-2.6.38(2011-03-14),SIMTEC,7,0.07
Linux-2.6.38(2011-03-14),Bluecherry,6,0.06
Linux-2.6.38(2011-03-14),Candela Tech.,6,0.06
Linux-2.6.38(2011-03-14),Solid Boot,6,0.06
Linux-2.6.38(2011-03-14),Fusion-io,6,0.06
Linux-2.6.38(2011-03-14),Wacom,6,0.06
Linux-2.6.38(2011-03-14),Realtek,6,0.06
Linux-2.6.38(2011-03-14),GRAMMER EiA ELECTRONICS,6,0.06
Linux-2.6.38(2011-03-14),OLPC,5,0.05
Linux-2.6.38(2011-03-14),Ralink,5,0.05
Linux-2.6.38(2011-03-14),Pelagicore AB,5,0.05
Linux-2.6.38(2011-03-14),XILINX,5,0.05
Linux-2.6.38(2011-03-14),Calxeda,5,0.05
Linux-2.6.38(2011-03-14),EfficiOS Inc.,5,0.05
Linux-2.6.38(2011-03-14),NEC,5,0.05
Linux-2.6.38(2011-03-14),US National Security Agency,4,0.04
Linux-2.6.38(2011-03-14),CC Computer Consultants,4,0.04
Linux-2.6.38(2011-03-14),Nixu Oy,4,0.04
Linux-2.6.38(2011-03-14),ProFUSION,4,0.04
Linux-2.6.38(2011-03-14),secunet Security Networks AG,4,0.04
Linux-2.6.38(2011-03-14),Substantiel,4,0.04
Linux-2.6.38(2011-03-14),Rhonda,4,0.04
Linux-2.6.38(2011-03-14),Ideas on board,4,0.04
Linux-2.6.38(2011-03-14),Alibaba,4,0.04
Linux-2.6.38(2011-03-14),Apple,4,0.04
Linux-2.6.38(2011-03-14),Oak Ridge National Laboratory,4,0.04
Linux-2.6.38(2011-03-14),Philosys Software,4,0.04
Linux-2.6.38(2011-03-14),VSR,4,0.04
Linux-2.6.38(2011-03-14),Open Grid Computing,4,0.04
Linux-2.6.38(2011-03-14),6WIND,4,0.04
Linux-2.6.38(2011-03-14),XMission,4,0.04
Linux-2.6.38(2011-03-14),Panasas,4,0.04
Linux-2.6.38(2011-03-14),Synopsys,4,0.04
Linux-2.6.38(2011-03-14),General Electric,3,0.03
Linux-2.6.38(2011-03-14),Applied Micro,3,0.03
Linux-2.6.38(2011-03-14),Eukrea Electromatique,3,0.03
Linux-2.6.38(2011-03-14),Mellanox Technologies,3,0.03
Linux-2.6.38(2011-03-14),SYSGO,3,0.03
Linux-2.6.38(2011-03-14),GNU,3,0.03
Linux-2.6.38(2011-03-14),MEV Limited,3,0.03
Linux-2.6.38(2011-03-14),Evidence Srl,2,0.02
Linux-2.6.38(2011-03-14),Holoscopio Tech.,2,0.02
Linux-2.6.38(2011-03-14),Raumfeld GmbH,2,0.02
Linux-2.6.38(2011-03-14),KARO,2,0.02
Linux-2.6.38(2011-03-14),KFKI Research Institute,2,0.02
Linux-2.6.38(2011-03-14),Mistral,2,0.02
Linux-2.6.38(2011-03-14),Vision Systems,2,0.02
Linux-2.6.38(2011-03-14),Volkswagen,2,0.02
Linux-2.6.38(2011-03-14),BitBox Ltd,2,0.02
Linux-2.6.38(2011-03-14),caiaq,2,0.02
Linux-2.6.38(2011-03-14),IXIA,2,0.02
Linux-2.6.38(2011-03-14),DELL,2,0.02
Linux-2.6.38(2011-03-14),Corscience GmbH & Co.,2,0.02
Linux-2.6.38(2011-03-14),Sensoray,2,0.02
Linux-2.6.38(2011-03-14),Studio EnneEnne,2,0.02
Linux-2.6.38(2011-03-14),Promwad Innovation,2,0.02
Linux-2.6.38(2011-03-14),NIIF Institute,2,0.02
Linux-2.6.38(2011-03-14),Barco,2,0.02
Linux-2.6.38(2011-03-14),Akamai,2,0.02
Linux-2.6.38(2011-03-14),Voltaire,2,0.02
Linux-2.6.38(2011-03-14),Hansen Partnership,2,0.02
Linux-2.6.38(2011-03-14),LinBit,2,0.02
Linux-2.6.38(2011-03-14),Lundinova AB,2,0.02
Linux-2.6.38(2011-03-14),Xyratex,1,0.01
Linux-2.6.38(2011-03-14),SlimLogic Ltd,1,0.01
Linux-2.6.38(2011-03-14),LWN,1,0.01
Linux-2.6.38(2011-03-14),SONY,1,0.01
Linux-2.6.38(2011-03-14),"RGM Advisors, LLC.",1,0.01
Linux-2.6.38(2011-03-14),Wytron Technology,1,0.01
Linux-2.6.38(2011-03-14),VPAC,1,0.01
Linux-2.6.38(2011-03-14),Basler Vision Technologies,1,0.01
Linux-2.6.38(2011-03-14),Crystalfontz,1,0.01
Linux-2.6.38(2011-03-14),Signal 11,1,0.01
Linux-2.6.38(2011-03-14),Adeneo,1,0.01
Linux-2.6.38(2011-03-14),Elliptic Technologies,1,0.01
Linux-2.6.38(2011-03-14),ELPA,1,0.01
Linux-2.6.38(2011-03-14),Jmicron,1,0.01
Linux-2.6.38(2011-03-14),ARMadeus Systems,1,0.01
Linux-2.6.38(2011-03-14),Gentoo,1,0.01
Linux-2.6.38(2011-03-14),Bluewater Systems,1,0.01
Linux-2.6.38(2011-03-14),Cadence Design Systems,1,0.01
Linux-2.6.38(2011-03-14),BalaBit,1,0.01
Linux-2.6.38(2011-03-14),Matrox,1,0.01
Linux-2.6.38(2011-03-14),LaCie,1,0.01
Linux-2.6.38(2011-03-14),"VIA Technologies, Inc.",1,0.01
Linux-2.6.38(2011-03-14),Tieto,1,0.01
Linux-2.6.38(2011-03-14),Extreme Engineering Solutions,1,0.01
Linux-2.6.38(2011-03-14),Microgate,1,0.01
Linux-2.6.38(2011-03-14),Areca,1,0.01
Linux-2.6.38(2011-03-14),ComX Networks,1,0.01
Linux-2.6.38(2011-03-14),Weinmann Medical Technology,1,0.01
Linux-2.6.38(2011-03-14),NICTA,1,0.01
Linux-2.6.38(2011-03-14),Guntermann & Drunck GmbH,1,0.01
Linux-2.6.38(2011-03-14),AXIS,1,0.01
Linux-2.6.38(2011-03-14),reliablesolutions,1,0.01
Linux-2.6.38(2011-03-14),DiBcom,1,0.01
Linux-2.6.38(2011-03-14),Transmode Systems,1,0.01
Linux-2.6.38(2011-03-14),MCST,1,0.01
Linux-2.6.37(2011-01-04),Hobbyists,2025,17.69
Linux-2.6.37(2011-01-04),Red Hat,1090,9.52
Linux-2.6.37(2011-01-04),Intel,1011,8.83
Linux-2.6.37(2011-01-04),Novell,699,6.11
Linux-2.6.37(2011-01-04),Unknown,477,4.17
Linux-2.6.37(2011-01-04),IBM,377,3.29
Linux-2.6.37(2011-01-04),Oracle,314,2.74
Linux-2.6.37(2011-01-04),Renesas Electronics,235,2.05
Linux-2.6.37(2011-01-04),Texas Instruments,233,2.04
Linux-2.6.37(2011-01-04),Academics,226,1.97
Linux-2.6.37(2011-01-04),Samsung,213,1.86
Linux-2.6.37(2011-01-04),Nokia,194,1.7
Linux-2.6.37(2011-01-04),Broadcom,174,1.52
Linux-2.6.37(2011-01-04),AMD,173,1.51
Linux-2.6.37(2011-01-04),Linutronix,170,1.49
Linux-2.6.37(2011-01-04),Pengutronix,159,1.39
Linux-2.6.37(2011-01-04),Analog Devices,144,1.26
Linux-2.6.37(2011-01-04),Consultants,134,1.17
Linux-2.6.37(2011-01-04),Wolfson Microelectronics,131,1.14
Linux-2.6.37(2011-01-04),Google,131,1.14
Linux-2.6.37(2011-01-04),Fujitsu,127,1.11
Linux-2.6.37(2011-01-04),ST-Ericsson,116,1.01
Linux-2.6.37(2011-01-04),Citrix,112,0.98
Linux-2.6.37(2011-01-04),QLogic,107,0.93
Linux-2.6.37(2011-01-04),QUALCOMM,95,0.83
Linux-2.6.37(2011-01-04),Canonical,90,0.79
Linux-2.6.37(2011-01-04),LinBit,87,0.76
Linux-2.6.37(2011-01-04),Openwall,86,0.75
Linux-2.6.37(2011-01-04),Linaro,82,0.72
Linux-2.6.37(2011-01-04),NetApp,75,0.66
Linux-2.6.37(2011-01-04),Freescale,71,0.62
Linux-2.6.37(2011-01-04),Vyatta,62,0.54
Linux-2.6.37(2011-01-04),OpenWrt,59,0.52
Linux-2.6.37(2011-01-04),NTT,56,0.49
Linux-2.6.37(2011-01-04),HP,55,0.48
Linux-2.6.37(2011-01-04),Parallels,53,0.46
Linux-2.6.37(2011-01-04),Solarflare Communications,51,0.45
Linux-2.6.37(2011-01-04),Code Aurora Forum,49,0.43
Linux-2.6.37(2011-01-04),New Dream Network,48,0.42
Linux-2.6.37(2011-01-04),Bitmer,42,0.37
Linux-2.6.37(2011-01-04),PetaLogix,42,0.37
Linux-2.6.37(2011-01-04),Astaro,39,0.34
Linux-2.6.37(2011-01-04),Marvell,38,0.33
Linux-2.6.37(2011-01-04),Mellanox Technologies,38,0.33
Linux-2.6.37(2011-01-04),Cavium,38,0.33
Linux-2.6.37(2011-01-04),Ideas on board,35,0.31
Linux-2.6.37(2011-01-04),MontaVista,34,0.3
Linux-2.6.37(2011-01-04),Chelsio,33,0.29
Linux-2.6.37(2011-01-04),Tilera,33,0.29
Linux-2.6.37(2011-01-04),Linux Foundation,32,0.28
Linux-2.6.37(2011-01-04),VMWare,31,0.27
Linux-2.6.37(2011-01-04),Debian,27,0.24
Linux-2.6.37(2011-01-04),Open Nandra,27,0.24
Linux-2.6.37(2011-01-04),Hauppauge,27,0.24
Linux-2.6.37(2011-01-04),Emulex,26,0.23
Linux-2.6.37(2011-01-04),Panasonic,26,0.23
Linux-2.6.37(2011-01-04),ARM,25,0.22
Linux-2.6.37(2011-01-04),Candela Tech.,25,0.22
Linux-2.6.37(2011-01-04),Eukrea Electromatique,25,0.22
Linux-2.6.37(2011-01-04),Cisco,24,0.21
Linux-2.6.37(2011-01-04),Ericsson,23,0.2
Linux-2.6.37(2011-01-04),Collabora,22,0.19
Linux-2.6.37(2011-01-04),VA LINUX,21,0.18
Linux-2.6.37(2011-01-04),STMicroelectronics,21,0.18
Linux-2.6.37(2011-01-04),Open Grid Computing,21,0.18
Linux-2.6.37(2011-01-04),Tuxera,20,0.17
Linux-2.6.37(2011-01-04),IDT,19,0.17
Linux-2.6.37(2011-01-04),NEC,17,0.15
Linux-2.6.37(2011-01-04),Nicira Networks,17,0.15
Linux-2.6.37(2011-01-04),Panasas,16,0.14
Linux-2.6.37(2011-01-04),CompuLab,16,0.14
Linux-2.6.37(2011-01-04),Hitachi,16,0.14
Linux-2.6.37(2011-01-04),SIMTEC,16,0.14
Linux-2.6.37(2011-01-04),Fusion-io,15,0.13
Linux-2.6.37(2011-01-04),"Rowland Institute, Harvard",15,0.13
Linux-2.6.37(2011-01-04),NVIDIA,14,0.12
Linux-2.6.37(2011-01-04),RTS Realtime Systems,14,0.12
Linux-2.6.37(2011-01-04),BalaBit,14,0.12
Linux-2.6.37(2011-01-04),SGI,13,0.11
Linux-2.6.37(2011-01-04),INRIA,13,0.11
Linux-2.6.37(2011-01-04),Brocade,12,0.1
Linux-2.6.37(2011-01-04),Fixstars Technologies,12,0.1
Linux-2.6.37(2011-01-04),Gentoo,12,0.1
Linux-2.6.37(2011-01-04),Macq Electronique,12,0.1
Linux-2.6.37(2011-01-04),Plugable,11,0.1
Linux-2.6.37(2011-01-04),Atomide,11,0.1
Linux-2.6.37(2011-01-04),Atmel,11,0.1
Linux-2.6.37(2011-01-04),Cypress Semiconductor,10,0.09
Linux-2.6.37(2011-01-04),Microsoft,10,0.09
Linux-2.6.37(2011-01-04),Fraunhofer FOKUS,9,0.08
Linux-2.6.37(2011-01-04),Realtek,9,0.08
Linux-2.6.37(2011-01-04),LaCie,9,0.08
Linux-2.6.37(2011-01-04),Mandriva,8,0.07
Linux-2.6.37(2011-01-04),OKI SEMICONDUCTOR,8,0.07
Linux-2.6.37(2011-01-04),OLPC,8,0.07
Linux-2.6.37(2011-01-04),Imagination Technologies,8,0.07
Linux-2.6.37(2011-01-04),Nixu Oy,8,0.07
Linux-2.6.37(2011-01-04),VSR,8,0.07
Linux-2.6.37(2011-01-04),Ksplice,7,0.06
Linux-2.6.37(2011-01-04),Corscience GmbH & Co.,7,0.06
Linux-2.6.37(2011-01-04),NXP,7,0.06
Linux-2.6.37(2011-01-04),GNU,7,0.06
Linux-2.6.37(2011-01-04),ARISTA,7,0.06
Linux-2.6.37(2011-01-04),Cozybit,6,0.05
Linux-2.6.37(2011-01-04),LSI,6,0.05
Linux-2.6.37(2011-01-04),ProFUSION,6,0.05
Linux-2.6.37(2011-01-04),Secret Lab,6,0.05
Linux-2.6.37(2011-01-04),CC Computer Consultants,6,0.05
Linux-2.6.37(2011-01-04),NSYSU,6,0.05
Linux-2.6.37(2011-01-04),Siemens,6,0.05
Linux-2.6.37(2011-01-04),Trend Micro,6,0.05
Linux-2.6.37(2011-01-04),SlimLogic Ltd,5,0.04
Linux-2.6.37(2011-01-04),Xyratex,5,0.04
Linux-2.6.37(2011-01-04),Critical Links,5,0.04
Linux-2.6.37(2011-01-04),CSR,5,0.04
Linux-2.6.37(2011-01-04),DENX Software Engineering,5,0.04
Linux-2.6.37(2011-01-04),Tk Open Systems,5,0.04
Linux-2.6.37(2011-01-04),Lundinova AB,5,0.04
Linux-2.6.37(2011-01-04),Rajant,4,0.03
Linux-2.6.37(2011-01-04),Logic PD,4,0.03
Linux-2.6.37(2011-01-04),Bluewater Systems,4,0.03
Linux-2.6.37(2011-01-04),Software Systems,4,0.03
Linux-2.6.37(2011-01-04),Transmode Systems,4,0.03
Linux-2.6.37(2011-01-04),Alibaba,4,0.03
Linux-2.6.37(2011-01-04),secunet Security Networks AG,3,0.03
Linux-2.6.37(2011-01-04),Volkswagen,3,0.03
Linux-2.6.37(2011-01-04),Hanwang Tech,3,0.03
Linux-2.6.37(2011-01-04),caiaq,3,0.03
Linux-2.6.37(2011-01-04),XS4ALL Internet bv,3,0.03
Linux-2.6.37(2011-01-04),Stratus Technologies,3,0.03
Linux-2.6.37(2011-01-04),Elektro Bit,3,0.03
Linux-2.6.37(2011-01-04),O.S. Systems Software Ltda.,3,0.03
Linux-2.6.37(2011-01-04),BitWagon Software,3,0.03
Linux-2.6.37(2011-01-04),Obsidian Research,3,0.03
Linux-2.6.37(2011-01-04),ACM,3,0.03
Linux-2.6.37(2011-01-04),Oak Ridge National Laboratory,3,0.03
Linux-2.6.37(2011-01-04),Mentor Graphics,3,0.03
Linux-2.6.37(2011-01-04),PMC-Sierra,3,0.03
Linux-2.6.37(2011-01-04),AXIS,3,0.03
Linux-2.6.37(2011-01-04),Hansen Partnership,3,0.03
Linux-2.6.37(2011-01-04),ALT Linux,3,0.03
Linux-2.6.37(2011-01-04),Synopsys,2,0.02
Linux-2.6.37(2011-01-04),EXAR,2,0.02
Linux-2.6.37(2011-01-04),EfficiOS Inc.,2,0.02
Linux-2.6.37(2011-01-04),PIKA Technologies,2,0.02
Linux-2.6.37(2011-01-04),Wacom,2,0.02
Linux-2.6.37(2011-01-04),Signal 11,2,0.02
Linux-2.6.37(2011-01-04),TekSavvy Solutions Inc.,2,0.02
Linux-2.6.37(2011-01-04),IXIA,2,0.02
Linux-2.6.37(2011-01-04),protonic holland,2,0.02
Linux-2.6.37(2011-01-04),LWN,2,0.02
Linux-2.6.37(2011-01-04),Conexant Systems,2,0.02
Linux-2.6.37(2011-01-04),Racelogic,2,0.02
Linux-2.6.37(2011-01-04),UNICUS,2,0.02
Linux-2.6.37(2011-01-04),Apple,2,0.02
Linux-2.6.37(2011-01-04),Gaisler Research,2,0.02
Linux-2.6.37(2011-01-04),Holoscopio Tech.,2,0.02
Linux-2.6.37(2011-01-04),Bitinfotech,2,0.02
Linux-2.6.37(2011-01-04),Pelagicore AB,2,0.02
Linux-2.6.37(2011-01-04),Microgate,2,0.02
Linux-2.6.37(2011-01-04),Etersoft,2,0.02
Linux-2.6.37(2011-01-04),Substantiel,2,0.02
Linux-2.6.37(2011-01-04),Raumfeld GmbH,2,0.02
Linux-2.6.37(2011-01-04),Promwad Innovation,2,0.02
Linux-2.6.37(2011-01-04),MPC Data,1,0.01
Linux-2.6.37(2011-01-04),DEKA,1,0.01
Linux-2.6.37(2011-01-04),Orcon Internet,1,0.01
Linux-2.6.37(2011-01-04),RisingTide Systems,1,0.01
Linux-2.6.37(2011-01-04),Einfochips,1,0.01
Linux-2.6.37(2011-01-04),Twin Sun,1,0.01
Linux-2.6.37(2011-01-04),"Vista-Silicon, S.L.",1,0.01
Linux-2.6.37(2011-01-04),Myricom,1,0.01
Linux-2.6.37(2011-01-04),IBA,1,0.01
Linux-2.6.37(2011-01-04),Boundary Devices,1,0.01
